Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers
2023,Afghanistan,AFG,Canada,CAN,945,4082
2023,Albania,ALB,Canada,CAN,221,281
2023,Algeria,DZA,Canada,CAN,839,873
2023,Angola,AGO,Canada,CAN,574,2024
2023,Antigua and Barbuda,ATG,Canada,CAN,37,21
2023,Egypt,EGY,Canada,CAN,903,547
2023,Argentina,ARG,Canada,CAN,18,121
2023,Armenia,ARM,Canada,CAN,10,24
2023,Australia,AUS,Canada,CAN,0,5
2023,Austria,AUT,Canada,CAN,0,6
2023,Azerbaijan,AZE,Canada,CAN,110,206
2023,Bahrain,BHR,Canada,CAN,20,20
2023,Barbados,BRB,Canada,CAN,265,285
2023,Burundi,BDI,Canada,CAN,744,751
2023,Belgium,BEL,Canada,CAN,5,40
2023,Benin,BEN,Canada,CAN,55,104
2023,Bangladesh,BGD,Canada,CAN,1191,2106
2023,Bahamas,BHS,Canada,CAN,768,1008
2023,Bhutan,BTN,Canada,CAN,5,5
2023,Burkina Faso,BFA,Canada,CAN,110,265
2023,Belarus,BLR,Canada,CAN,24,27
2023,Bolivia (Plurinational State of),BOL,Canada,CAN,39,76
2023,Botswana,BWA,Canada,CAN,7,15
2023,Brazil,BRA,Canada,CAN,154,1910
2023,Bosnia and Herzegovina,BIH,Canada,CAN,6,5
2023,Bulgaria,BGR,Canada,CAN,55,52
2023,Belize,BLZ,Canada,CAN,0,10
2023,Cambodia,KHM,Canada,CAN,28,13
2023,Central African Rep.,CAF,Canada,CAN,42,45
2023,Chad,TCD,Canada,CAN,544,972
2023,China,CHN,Canada,CAN,2383,1791
2023,Chile,CHL,Canada,CAN,220,2689
2023,Cameroon,CMR,Canada,CAN,672,1538
2023,Congo,COG,Canada,CAN,144,608
2023,Dem. Rep. of the Congo,COD,Canada,CAN,1297,3643
2023,Comoros,COM,Canada,CAN,5,5
2023,Colombia,COL,Canada,CAN,5056,12461
2023,Costa Rica,CRI,Canada,CAN,29,109
2023,Cuba,CUB,Canada,CAN,355,921
2023,Cabo Verde,CPV,Canada,CAN,0,5
2023,Cyprus,CYP,Canada,CAN,0,6
2023,Czechia,CZE,Canada,CAN,177,142
2023,Denmark,DNK,Canada,CAN,0,13
2023,Djibouti,DJI,Canada,CAN,145,104
2023,Dominica,DMA,Canada,CAN,5,11
2023,Dominican Rep.,DOM,Canada,CAN,132,378
2023,Ecuador,ECU,Canada,CAN,93,380
2023,Equatorial Guinea,GNQ,Canada,CAN,6,12
2023,Eritrea,ERI,Canada,CAN,446,424
2023,Estonia,EST,Canada,CAN,5,0
2023,Ethiopia,ETH,Canada,CAN,1110,1411
2023,Fiji,FJI,Canada,CAN,5,20
2023,Finland,FIN,Canada,CAN,0,5
2023,France,FRA,Canada,CAN,5,122
2023,Gabon,GAB,Canada,CAN,40,45
2023,Gambia,GMB,Canada,CAN,73,227
2023,Palestinian,PSE,Canada,CAN,628,496
2023,United Kingdom of Great Britain and Northern Ireland,GBR,Canada,CAN,6,136
2023,Georgia,GEO,Canada,CAN,207,585
2023,Germany,DEU,Canada,CAN,5,54
2023,Ghana,GHA,Canada,CAN,256,986
2023,Guinea-Bissau,GNB,Canada,CAN,5,24
2023,Greece,GRC,Canada,CAN,7,33
2023,Grenada,GRD,Canada,CAN,14,13
2023,Guatemala,GTM,Canada,CAN,253,460
2023,Guinea,GIN,Canada,CAN,350,567
2023,Guyana,GUY,Canada,CAN,42,72
2023,Haiti,HTI,Canada,CAN,3449,14944
2023,"China, Hong Kong SAR",HKG,Canada,CAN,130,34
2023,Honduras,HND,Canada,CAN,407,432
2023,Croatia,HRV,Canada,CAN,36,5
2023,Hungary,HUN,Canada,CAN,1577,987
2023,Iceland,ISL,Canada,CAN,0,5
2023,Cote d'Ivoire,CIV,Canada,CAN,215,443
2023,India,IND,Canada,CAN,6330,12127
2023,Indonesia,IDN,Canada,CAN,62,93
2023,Ireland,IRL,Canada,CAN,6,43
2023,Iran (Islamic Rep. of),IRN,Canada,CAN,8046,6362
2023,Iraq,IRQ,Canada,CAN,539,423
2023,Israel,ISR,Canada,CAN,54,101
2023,Italy,ITA,Canada,CAN,23,154
2023,Jamaica,JAM,Canada,CAN,356,700
2023,Jordan,JOR,Canada,CAN,709,1248
2023,Japan,JPN,Canada,CAN,5,5
2023,Kazakhstan,KAZ,Canada,CAN,43,371
2023,Kenya,KEN,Canada,CAN,477,1709
2023,Kyrgyzstan,KGZ,Canada,CAN,8,18
2023,Rep. of Korea,KOR,Canada,CAN,20,30
2023,Dem. People's Rep. of Korea,PRK,Canada,CAN,33,11
2023,Kuwait,KWT,Canada,CAN,23,15
2023,Lao People's Dem. Rep.,LAO,Canada,CAN,0,9
2023,Liberia,LBR,Canada,CAN,108,126
2023,Libya,LBY,Canada,CAN,343,258
2023,Saint Lucia,LCA,Canada,CAN,46,46
2023,Lebanon,LBN,Canada,CAN,849,1158
2023,Sri Lanka,LKA,Canada,CAN,1453,2626
2023,Lithuania,LTU,Canada,CAN,0,10
2023,Latvia,LVA,Canada,CAN,10,6
2023,Madagascar,MDG,Canada,CAN,21,26
2023,Mauritania,MRT,Canada,CAN,186,266
2023,North Macedonia,MKD,Canada,CAN,5,5
2023,Rep. of Moldova,MDA,Canada,CAN,9,19
2023,Mexico,MEX,Canada,CAN,5128,29262
2023,Marshall Islands,MHL,Canada,CAN,0,5
2023,Mali,MLI,Canada,CAN,145,284
2023,Malaysia,MYS,Canada,CAN,22,57
2023,Malawi,MWI,Canada,CAN,55,64
2023,Montenegro,MNE,Canada,CAN,0,15
2023,Mongolia,MNG,Canada,CAN,56,38
2023,Morocco,MAR,Canada,CAN,140,188
2023,Mozambique,MOZ,Canada,CAN,7,5
2023,Malta,MLT,Canada,CAN,0,8
2023,Mauritius,MUS,Canada,CAN,8,33
2023,Myanmar,MMR,Canada,CAN,80,80
2023,Namibia,NAM,Canada,CAN,26,83
2023,Nepal,NPL,Canada,CAN,233,408
2023,Netherlands (Kingdom of the),NLD,Canada,CAN,5,43
2023,Niger,NER,Canada,CAN,45,70
2023,Nicaragua,NIC,Canada,CAN,510,965
2023,Nigeria,NGA,Canada,CAN,3373,4820
2023,Norway,NOR,Canada,CAN,0,10
2023,Oman,OMN,Canada,CAN,6,10
2023,Pakistan,PAK,Canada,CAN,2902,4609
2023,Panama,PAN,Canada,CAN,5,131
2023,Paraguay,PRY,Canada,CAN,8,14
2023,Peru,PER,Canada,CAN,236,1637
2023,Philippines,PHL,Canada,CAN,75,150
2023,Papua New Guinea,PNG,Canada,CAN,0,5
2023,Poland,POL,Canada,CAN,141,106
2023,Portugal,PRT,Canada,CAN,16,57
2023,Qatar,QAT,Canada,CAN,0,5
2023,Romania,ROU,Canada,CAN,623,1598
2023,South Africa,ZAF,Canada,CAN,113,289
2023,Russian Federation,RUS,Canada,CAN,232,632
2023,Rwanda,RWA,Canada,CAN,773,1184
2023,El Salvador,SLV,Canada,CAN,603,398
2023,Saudi Arabia,SAU,Canada,CAN,231,89
2023,Senegal,SEN,Canada,CAN,190,1492
2023,Singapore,SGP,Canada,CAN,5,5
2023,Sierra Leone,SLE,Canada,CAN,29,127
2023,Solomon Islands,SLB,Canada,CAN,0,5
2023,Somalia,SOM,Canada,CAN,598,357
2023,Spain,ESP,Canada,CAN,6,68
2023,Serbia and Kosovo: S/RES/1244 (1999),SRB,Canada,CAN,60,69
2023,Viet Nam,VNM,Canada,CAN,117,330
2023,South Sudan,SSD,Canada,CAN,19,34
2023,Stateless,XXA,Canada,CAN,356,281
2023,Saint Kitts and Nevis,KNA,Canada,CAN,10,5
2023,Sudan,SDN,Canada,CAN,386,874
2023,Suriname,SUR,Canada,CAN,5,5
2023,Slovakia,SVK,Canada,CAN,404,97
2023,Slovenia,SVN,Canada,CAN,0,5
2023,Eswatini,SWZ,Canada,CAN,10,12
2023,Sweden,SWE,Canada,CAN,5,62
2023,Switzerland,CHE,Canada,CAN,0,5
2023,Syrian Arab Rep.,SYR,Canada,CAN,698,1011
2023,United Rep. of Tanzania,TZA,Canada,CAN,198,324
2023,Thailand,THA,Canada,CAN,15,12
2023,Tajikistan,TJK,Canada,CAN,18,98
2023,Turkmenistan,TKM,Canada,CAN,8,13
2023,Togo,TGO,Canada,CAN,103,206
2023,Trinidad and Tobago,TTO,Canada,CAN,41,112
2023,Tunisia,TUN,Canada,CAN,109,216
2023,TÃ¼rkiye,TUR,Canada,CAN,4001,13273
2023,United Arab Emirates,ARE,Canada,CAN,14,13
2023,Uganda,UGA,Canada,CAN,716,1224
2023,Unknown ,UNK,Canada,CAN,1030,1927
2023,Ukraine,UKR,Canada,CAN,75030,277
2023,Uruguay,URY,Canada,CAN,6,32
2023,United States of America,USA,Canada,CAN,195,1572
2023,Uzbekistan,UZB,Canada,CAN,27,170
2023,Saint Vincent and the Grenadines,VCT,Canada,CAN,55,42
2023,Venezuela (Bolivarian Republic of),VEN,Canada,CAN,1549,4462
2023,Western Sahara,ESH,Canada,CAN,5,0
2023,Yemen,YEM,Canada,CAN,565,700
2023,Zambia,ZMB,Canada,CAN,26,51
2023,Zimbabwe,ZWE,Canada,CAN,313,962